STRAIN,SPECIES,GENOTYPE,COMMENTS,FROM,OTHER NAMES
JU1568,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Petasites stem (#I5) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct.Isolated as an adult on 6 Oct.",MAF,I5.1.1
JU1569,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Petasites stem (#I6) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as a dauer larva on 6 Oct.",MAF,I6.1
JU1570,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Petasites stem (#I6) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as a dauer larva on 6 Oct.",MAF,I6.2
JU1571,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Petasites stem (#I6) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as a dauer larva on 6 Oct.",MAF,I6.3
JU1572,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Petasites stem (#I6) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as an adult on 6 Oct.",MAF,I6.4
JU1573,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Petasites stem (#I6) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as an adult on 6 Oct.",MAF,I6.5
JU1574,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Petasites stem (#I6) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as an adult on 6 Oct.",MAF,I6.6
JU1575,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Petasites stem (#I6) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as a L2d on 6 Oct.",MAF,I6.7
JU1576,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Petasites stem (#I6) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as a L2d on 6 Oct.",MAF,I6.8
JU1577,Caenorhabditis elegans,wild isolate,"Isolated from a rotting Petasites stem (#I6) in Ivry-sur-Seine (Val de Marne), France, sampled on 5 Oct 2008. Plated on 6 Oct. Isolated as an adult on 6 Oct.",MAF,I6.9
JU1578,Oscheius tipulae,wild isolate,"Isolated from Ilex (holly) berries sampled in Orsay (Essonne, France) on 28 Sep 2008 (on the right above the main entrance). Plated on 29 Sep. Isolated as young larva (L2) on 29 Sep (adult on 30 Sep). ",MAF,O41.2
JU1579,Oscheius tipulae,wild isolate,"Isolated from a Petasites stem sampled in Orsay (Essonne, France) on 28 Sep 2008 (above horse stable) that also yielded C. briggsae. Plated on 29 Sep, isolated as a lethargus L1 larva on 29 Sep.",MAF,O62.2
JU1580,Caenorhabditis elegans,wild isolate,"Isolated from rotting apple O87 (Calville Rouge dÕOullins) sampled by MAF in the Orsay (Essonne, France) orchard on 6 Oct 2008. Plated on 6 Oct, isolated as a L4 on 7 Oct.",MAF,O87.15
JU1581,Caenorhabditis elegans,wild isolate,"Isolated from rotting apple O134 (Calville dÕAo_t) sampled by MAF in the Orsay (Essonne, France) orchard on 23 Oct 2008. Plated on 23 Oct, picked as a L2d on 23 Oct.",MAF,O134.10
JU1582,Caenorhabditis elegans,wild isolate,"Isolated from rotting apple O143 (Pouzac variety) sampled by MAF in the Orsay (Essonne, France) orchard on 23 Oct 2008. Plated on 23 Oct, picked as a pale adult on 24 Oct.",MAF,O143.9
JU1583,Caenorhabditis elegans,wild isolate,"Isolated from rotting apple O143 (Pouzac variety) sampled by MAF in the Orsay (Essonne, France) orchard on 23 Oct 2008. Plated on 23 Oct, picked as a L4 larva on 24 Oct.",MAF,O143.12
JU1586,Caenorhabditis elegans,wild isolate,"Isolated from rotting grape puree sampled in Le Blanc (Indre), France on 3 Nov 2008. Plated 3 Nov 2008, isolated as adult on 5 Nov.",MAF,B41.1
JU1587,Caenorhabditis elegans,wild isolate,"Isolated from rotting grape puree sampled in Le Blanc (Indre), France on 3 Nov 2008. Plated 3 Nov 2008, isolated as adult on 5 Nov.",MAF,B41.2
JU1593,Caenorhabditis afra,wild isolate,"Isolated from leaf litter near pond edge, sampled by J. and G. Hatty on 29 Nov 08 near Shonga, Nigeria. ",J. Hatty / MAF,N6A2
JU1596,Caenorhabditis elegans,let-23(sy1) in near N2 isogenic background.,"JU605 was backcrossed 5 times into JU1113 with selection of high vulval index (at 20¡ for the 4 first backcrosses, at 25¡ for the last one).The line was fixed by 6 generations of selfing before freezing.",FD,JU605xNIL13 A 6.2.3-1
JU1597,Caenorhabditis elegans,let-23(sy1) in near N2 isogenic background,"JU605 was backcrossed 5 times into JU1113 with selection of high vulval index (at 20¡ for the 4 first backcrosses, at 25¡ for the last one).The line was fixed by 6 generations of selfing before freezing.",FD,JU605xNIL13 B 6.2.3-1
JU1598,Caenorhabditis elegans,let-23(sy1) in near N2 isogenic background,"JU605 was backcrossed 5 times into JU1123 with selection of high vulval index (at 20¡ for the 4 first backcrosses, at 25¡ for the last one).The line was fixed by 6 generations of selfing before freezing.",FD,JU605xNIL11 D 13.1.1-1
JU1599,Caenorhabditis elegans,let-23(sy1) in near N2 isogenic background,"JU605 was backcrossed 5 times into JU1113 with selection of high vulval index (at 20¡ for the 4 first backcrosses, at 25¡ for the last one).The line was fixed by 6 generations of selfing before freezing.",FD,JU605xNIL21 L 5.4.2-3
JU1600,Oscheius tipulae,wild isolate,"Isolated in Uruguay, Oct. 2008 by G. Salinas.",Gustavo Salinas,Ur. Osch.
JU1601,Oscheius tipulae,wild isolate,"Isolated from compost, sampled by J. and G. Hatty on 29 Nov 08 near Shonga, Nigeria. ",J. Hatty/MAF,N1B1
JU1604,Caenorhabditis elegans,"mfIR1(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1596 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundI4679574 to pas4051 is homozygous AB1haw7143 is homozygous N2",Fabien Duveau,A2.5.2
JU1605,Caenorhabditis elegans,"mfIR2(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1596 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundI4679574 is homozygous N2haw7143 is homozygous AB1",Fabien Duveau,A2.10.2
JU1606,Caenorhabditis elegans,"mfIR3(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1596 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundI4679574 is homozygous AB1haw7143 is homozygous N2",Fabien Duveau,A3.13.1
JU1607,Caenorhabditis elegans,"mfIR4(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1596 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundI4679574 is homozygous N2haw7143 is homozygous AB1",Fabien Duveau,A9.6.1
JU1608,Caenorhabditis elegans,"mfIR5(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1596 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundI4679574 is homozygous N2haw7143 is homozygous AB1",Fabien Duveau,C7.14.1
JU1609,Caenorhabditis elegans,"mfIR6(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1596 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundI4679574 is homozygous AB1haw7143 is homozygous N2",Fabien Duveau,A2.13.4
JU1610,Caenorhabditis elegans,"mfIR7(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1596 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundI4679574 is homozygous AB1haw7143 is homozygous N2",Fabien Duveau,A4.1.4
JU1611,Caenorhabditis elegans,"mfIR8(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1596 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundI4679574 is homozygous N2haw7143 is homozygous AB1",Fabien Duveau,C7.12.4
JU1612,Caenorhabditis elegans,"mfIR9(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1596 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundI4679574 is homozygous AB1haw7143 is homozygous N2",Fabien Duveau,C8.16.1
JU1613,Caenorhabditis elegans,"mfIR10(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1596 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundI4679574 is homozygous N2haw7143 is homozygous AB1",Fabien Duveau,C9.15.1
JU1617,Caenorhabditis eleegans,let-23(sy1)II; npr-1(g320)X in N2,Obtained from crossing hermaphrodite DA650 to male JU605.,F. Duveau,
JU1618,Caenorhabditis elegans,lon-2(e678)? let-23(sy1) II; npr-1(g320) X in N2,Obtained by crossing hermaphrodite AX613 to male JU605,F. Duveau,
JU1619,Caenorhabditis elegans,"mfIR11(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1598 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundhaw6686 is homozygous N2haw7143 is homozygous AB1",Fabien Duveau,alpha2.8
JU1620,Caenorhabditis elegans,"mfIR12(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1598 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundhaw6686 is homozygous AB1haw7143 is homozygous N2",Fabien Duveau,alpha3.6
JU1621,Caenorhabditis elegans,"mfIR13(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1598 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundhaw6686 is homozygous N2haw7143 is homozygous AB1",Fabien Duveau,gamma5.9
JU1622,Caenorhabditis elegans,"mfIR14(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1598 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundhaw6686 is homozygous AB1haw7143 is homozygous N2",Fabien Duveau,gamma2.7
JU1623,Caenorhabditis elegans,"mfIR15(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1598 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundhaw6686 is homozygous AB1haw7143 is homozygous N2",Fabien Duveau,gamma2.8
JU1624,Caenorhabditis elegans,"mfIR16(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1598 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundhaw6686 is homozygous N2haw7143 is homozygous AB1",Fabien Duveau,gamma7.1
JU1625,Caenorhabditis elegans,"mfIR17(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1598 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundhaw6686 is homozygous N2haw7143 is homozygous AB1",Fabien Duveau,alpha8.2
JU1626,Caenorhabditis elegans,"mfIR18(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1598 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundhaw6686 is homozygous AB1haw7143 is homozygous N2",Fabien Duveau,alpha8.9
JU1627,Caenorhabditis elegans,"mfIR19(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1598 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundhaw6686 is homozygous N2haw7143 is homozygous AB1",Fabien Duveau,gamma7.7
JU1628,Caenorhabditis elegans,"mfIR20(I,AB1>N2); let-23(sy1)II","NIL obtained from hermaphrodite JU1598 x male JU605, and selection for recombinant genotype in F6let-23(sy1) in near-isogenic N2 backgroundhaw6686 is homozygous N2haw7143 is homozygous AB1",Fabien Duveau,gamma10.3
JU1630,Caenorhabditis tropicalis,wild isolate,"Isolated from rotten small tomatoes sampled on 21 April 2009 around Matinho (17¡065Õ N, 25¡075Õ W) on Santo Antao Island, Cape Verde, by MAF. 4 km from JU1631.",MAF,2.2.1
JU1631,Caenorhabditis tropicalis,wild isolate,"Isolated from rotten tomatoes sampled on 21 April 2009 in Caibros below Casa Zeca (17¡085Õ N, 25¡075Õ W) on Santo Antao Island, Cape Verde, by MAF. 4 km from JU1630, 1 km from JU1631.",MAF,6.1.1
JU1632,Caenorhabditis tropicalis,wild isolate,"Isolated from rotten wild Cucurmis sp. sampled on 22 April 2009 at Boca de Ambas below Caibros (left of the turn 208-210; 17¡090Õ N, 25¡080Õ W) on Santo Antao Island, Cape Verde, by MAF. 1 km from JU1631.",MAF,7.1.2
JU1633,Caenorhabditis tropicalis,wild isolate,"Isolated from rotting coffee grains sampled on 24 April 2009 in Valley de Paul around Cha de Fazenda (17¡070Õ N, 25¡030Õ W) on Santo Antao Island, Cape Verde, by MAF. 8-9 km from JU1630-2. Ca. 1 km from JU1633 and 1.5 km from JU1635.",MAF,13.2.1
JU1634,Caenorhabditis tropicalis,wild isolate,"Isolated from rotting banana trunk sampled on 24 April 2009 in Valley de Paul around Cha de Padre (ca. 17¡073Õ N, 25¡030Õ W) on Santo Antao Island, Cape Verde, by MAF. Ca. 1 km from JU1633, 500 m from JU1635.",MAF,19.2.3
JU1635,Caenorhabditis tropicalis,wild isolate,"Isolated from rotting banana trunk sampled on 24 April 2009 in Valley de Paul around Cha de Padre (17¡075Õ N, 25¡030Õ W) on Santo Antao Island, Cape Verde, by MAF. 500 m down from JU1634.",MAF,20.2.1
JU1636,Caenorhabditis tropicalis,wild isolate,"Isolated from rotting banana trunk sampled on 25 April 2009 between Corda and Cha de Coelho (17¡080Õ N, 25¡060Õ W) on Santo Antao Island, Cape Verde, by MAF. Valley located ca. 3 km East of JU1630-2, 3 km West of JU1637 and 6 km West of JU1633-5.",MAF,21.1.1
JU1637,Caenorhabditis briggsae,wild isolate,"Isolated from soil with cabbage leaves sampled on 26 April 2009 above X™x™, Valley de Torre (17¡080Õ N, 25¡040Õ W) on Santo Antao Island, Cape Verde, by MAF. Valley located ca. 6 km East of JU1630-2, 3 km East of JU1636 and 3 km West of JU1633-5.",MAF,25.2.2
JU1638,Caenorhabditis briggsae,wild isolate,"Isolated from soil next to yam/taro plant sampled on 26 April 2009 in X™x™, Valley de Torre (17¡083Õ N, 25¡040Õ W) on Santo Antao Island, Cape Verde, by MAF. Ca. 2 km North of JU1637.",MAF,26.1.1
JU1639,Caenorhabditis tropicalis,wild isolate,"Isolated from rotting banana trunk sampled on 26 April 2009 left of road 204 North of X™x™, Valley de Torre (17¡09Õ N, 25¡040Õ W) on Santo Antao Island, Cape Verde, by MAF. Ca. 1 km North of JU1638.",MAF,27.2.2
JU1640,Caenorhabditis tropicalis,wild isolate,"Isolated from rotting tomato sampled on 1 May 2009 in Ribeira (=Valley) Cumba below Renque de Purga (15¡048Õ N, 23¡313Õ W) on Santiago Island, Cape Verde, by MAF. Ca. 17 km from JU1641.",MAF,29.1.1
JU1641,Caenorhabditis tropicalis,wild isolate,"Isolated from rotting banana+mango leaves sampled on 3 May 2009 in Cidade Velha (14¡550Õ N, 23¡363Õ W) on Santiago Island, Cape Verde, by MAF. Ca. 17 km from JU1640.",MAF,39.1.1
JU1642,Oscheius tipulae,wild isolate,"Isolated from soil below bean plant sampled on 24 April 2009 in Ribeira/Valley de Paul around Cha de Fazenda (17¡070Õ N, 25¡030Õ W) on Santo Antao Island, Cape Verde, by MAF. ",MAF,12.1.3
JU1643,Oscheius tipulae,wild isolate,"Isolated from rotting figs (Ficus sycomorus) sampled on 1 May 2009 in Ribeira (=Valley) Cumba below Renque de Purga (15¡048Õ N, 23¡313Õ W) on Santiago Island, Cape Verde, by MAF.",MAF,30.1.1
JU1644,Oscheius tipulae,wild isolate,"Isolated from rotting banana trunk sampled on 2 May 2009 below/east of Pico dÕAntonia (15¡025Õ N, 23¡365Õ W) on Santiago Island, Cape Verde, by MAF.",MAF,37.1.1
JU1645,Panagrolaimus sp.,wild isolate,"Male-female. Isolated from rotting agave leaves sampled on 21 April 2009 between Matinho and Caibros (17¡075Õ N, 25¡075Õ W) on Santo Antao Island, Cape Verde, by MAF.",MAF,3.1.2
JU1646,Panagrolaimus sp.,wild isolate,"Male-female. Isolated from small rotting fruits (Óazedine?Ó - picture) sampled on 1 May 2009 in Ribeira (=Valley) Cumba below Renque de Purga (15¡048Õ N, 23¡313Õ W) on Santiago Island, Cape Verde, by MAF.",MAF,32.1.2
JU1647,Prodontorhabditis?,wild isolate,"Male-female. Isolated from rotting banana trunk sampled on 24 April 2009 in Valley de Paul around Cha de Fazenda (17¡070Õ N, 25¡030Õ W) on Santo Antao Island, Cape Verde, by MAF.",MAF,15.1.1
JU1649,Oscheius tipulae,wild isolate,"Sampled by I. F_lix from beech forest litter on 28 May 2009 in Lasko, Slovenia.",MAF,SL1E1
EG5613,Caenorhabditis briggsae,wild isolate,"Isolated by Michael Ailion from a small unidentified rotten fruit collected on 29 April 2009 on a trail near Dois Rios, Ilha Grande, Brazil (-23.18234 S; -44.19456 W).",Michael Ailion,
JU1650,Caenorhabditis elegans,nath-10(haw6805) I; let-23(sy1) II; npr-1(g320) X in otherwise N2 background,Obtained from a cross between JU1617 male and JU1624 hermaphrodite.,Fabien Duveau,
EG5625,Caenorhabditis portoensis,inbred wild isolate,Inbred by Michael Ailion by sib mating (virgin L4 female + male) for 20 generations of EG4788. (use EG5626 for sequencing) ,Michael Ailion,
EG5626,Caenorhabditis portoensis,inbred wild isolate,Inbred by Michael Ailion by sib mating (virgin L4 female + male) for 20 generations of EG4788. Use as reference for sequencing. ,Michael Ailion,
JU1651,Oscheius tipulae,wild isolate,"Isolated by Michael Ailion from a rotten jack fruit collected on 29 April 2009 about halfway between Dois Rios and Caxadaço, Ilha Grande, Brazil (-23.18234 S; -44.19456 W). ",Michael Ailion,L3b
JU1652,Caenorhabditis elegans,wild isolate,"Isolated by Rosina Giordano from compost sampled in Montevideo, Uruguay",Rosina Giordano,UY1.1
JU1653,Oscheius tipulae,wild isolate,"Isolated by Rosina Giordano from compost sampled in Montevideo, Uruguay",Rosina Giordano,UY6
JU1654,Caenorhabditis elegans,wild isolate,"Isolated from a rotting fern stem (Pteridium aquilinum, #P09-19) sampled on 14 July 2009 by MAF below Sainte-Barbe (Finistère), France. Plated on 15 July and isolated as L4 on 15 July. Not bleached.",MAF,P09-19.1
JU1655,Caenorhabditis elegans,wild isolate,"Isolated from a rotting fern stem (Pteridium aquilinum, #P09-19) sampled on 14 July 2009 by MAF below Sainte-Barbe (Finistère), France. Plated on 15 July and isolated as adult on 15 July. Not bleached.",MAF,P09-19.2
JU1656,Caenorhabditis elegans,wild isolate,"Isolated from a rotting fern stem (Pteridium aquilinum, #P09-19) sampled on 14 July 2009 by MAF below Sainte-Barbe (Finistère), France. Plated on 15 July and isolated as dauer on 15 July. Not bleached.",MAF,P09-19.3
JU1657,Caenorhabditis elegans,wild isolate,"Isolated from a rotting fern stem (Pteridium aquilinum, #P09-19) sampled on 14 July 2009 by MAF below Sainte-Barbe (Finistère), France. Plated on 15 July and isolated on 15 July. Not bleached.",MAF,P09-19.5
